Производитель,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB
Страна,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия,Германия
Наименование/Серия,Basic 55,Reflex,Busch-Duro,Spring,Alpha,Alpha Exclusive,Future/Future Linear,Solo,Axcent,Impuls,Pure Steel,Carat

Тэг 1,,,,,Классический дизайн,Классический дизайн,,,,,,
Тэг 2,,,,,,,,,,,,Натуральные материалы

Группа устройств: Общее
Датчик дв./комф.выкл.,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,6815 U,,6815 U,6815 U
,6815-X1-507,6815-X1,6815-X1,6815-X1,6815-X1,6815-X1,6815-X1,6815-X1,6815-X1,,6815-X1,6815-X1
Датчик движения Комфорт,,6804 U-101-500,6804 U-101-500,6804 U-101-500,6804 U-101-500,6804 U-101-500,6804 U-101-500,6804 U-101-500,6804 U,6804 U-101-500,6804 U-101-500,6804 U-101-500
,,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M,6800-X1-104M

Параметр X1 — Цвет
,92 - сл.кость,214 - белый,212 - сл.кость,214 - белый,20-платина,20-платина,81-анрацит,81-анрацит,84-белый,72 - сл.кость,866 - сталь,81-анрацит
,93-шампань,,,,21-бронза,21-бронза,82-сл.кость,82-сл.кость,896-белый шале,74- белый,,82-сл.кость
,94 - белый,,,,22G-сл.кость,22G-сл.кость,83-серебр.,84-белый,,79- шампань мет.,,84-белый
,95-черный шато,,,,24-белый матовый,24-белый матовый,84-белый,803-метеор,,774- бел.бархат,,
,96-белый шале,,,,24G-белый,24G-белый,884- бел.бархат,815-сахара,,775- черн.бархат,,
,,,,,260-палладий,260-палладий,885- черн.бархат,,,777 - ежевика,,
,,,,,266-титан,266-титан,,,,783- серебр.мет,,

Группа устройств: Рамка
Рамка 1 пост,2511-X2-507,2511-X2,2511-X2,1721-X2,1721-X2,1721KA-X2,1721-X2K,1721-X2,1721-X2,1721-X2-507,1721-X2,1721-X2
Рамка 2 поста,2512-X2-507,2512-X2,2512-X2,1722-X2,1722-X2,1722KA-X2,1722-X2K,1722-X2,1722-X2,1722-X2-507,1722-X2,1722-X2
Рамка 3 поста,2513-X2-507,2513-X2,2513-X2,1723-X2,1723-X2,1723KA-X2,1723-X2K,1723-X2,1723-X2,1723-X2,1723-X2,1723-X2
Рамка 4 поста,2514-X2-507,2514-X2,2514-X2,1724-X2,1724-X2,1724KA-X2,1724-X2K,1724-X2,1724-X2,1724-X2-507,1724-X2,1724-X2
Рамка 5 постов,2515-X2-507,2515-X2,2515-X2,1725-X2,1725-X2,1725KA-X2,1725-X2K,1725-X2,1725-X2,1725-X2,1725-X2,1725-X2

Параметр X2 — Цвет
,91 - серый энтре,,212 - сл.кость,,20-платина,20-платина,181K - анрацит,80 - мат.хром,280-белое стекло,72 - сл.кость,866K - сталь,811-белое стекло
,92 - сл.кость,214 - белый,,214 - белый,21-бронза,21-бронза,182K - сл.кость,80G -гл.хром,281-черный,73 - золото,,821-бронза
,93-шампань,,,,22G-сл.кость,22G-сл.кость,183K - серебр.,84 - белый,284-белый,74- белый,,823-101--золото
,94 - белый,,,,24-белый матоый,24G-белый,184K - белый,,285-желтый,79- шампань мет.,,825-черное стекло
,95 - черный шато,,,,260-палладий,260-палладий,884K- бел.бархат,,286-зеленый,726 - хром,,826-101-хром
,96 - белый шале,,,,266-титан,263-хром,885K- черн.бархат,,287-красный,774- бел.бархат,,860-сталь
,97 - красный,,,,,266-титан,,,288-синий,775- черн.бархат,,
,98 - синий бистро,,,,,,,,291-серый энтре,,,
,99 - бежевый мейсон,,,,,,,,295-черный шато,,,
,,,,,,,,,296-белый шале,,,
,,,,,,,,,297-огненно-красный,,,
,,,,,,,,,299-бежевый мейсон,,,

Группа устройств: Опция 1
Декоративная накладка,2516-X3-507,,,,,,,,,,,
Параметр X3 — Цвет
,92 - сл.кость,,,,,,,,,,,
,93-шампань,,,,,,,,,,,
,94 - белый,,,,,,,,,,,
,95 - черный шато,,,,,,,,,,,
,96 - белый шале,,,,,,,,,,,
,901-синий,,,,,,,,,,,
,902-металлик,,,,,,,,,,,
,903-салатовый,,,,,,,,,,,
,904-оранжевый,,,,,,,,,,,
,905-желтый,,,,,,,,,,,
,906-абрикосовый,,,,,,,,,,,
,907-флуоресцентный,,,,,,,,,,,
